ps3 sprite file, ps3 image, ryukishi best match, count of best match, confidence,all matches,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
_mats_019.txt,hoteru,hoteru,7,78%,7:hoteru,1:jansou2,1:si_h1,,,,,,,,,,,,,
_mats_021.txt,hu2,hu1,3,60%,3:hu1,2:hu2,,,,,,,,,,,,,,
_mats_018.txt,hu2_01,hu1,2,67%,2:hu1,1:hu2,,,,,,,,,,,,,,
_kakera52.txt,hu_ima,NO_MATCH,0,0%,,,,,,,,,,,,,,,,
_mats_025.txt,hu_r1,hu_r1,26,35%,26:hu_r1,26:hu_r2,22:hu_r3,1:bg_063,,,,,,,,,,,,
_mats_012.txt,hu_r4,hu_r4,12,100%,12:hu_r4,,,,,,,,,,,,,,,
onik_015_02.txt,hu_tenjyou,ma_j3,1,100%,1:ma_j3,,,,,,,,,,,,,,,
_mats_015.txt,ie1,ie1,9,50%,9:ie1,4:ie2,1:g2,1:m_hi3,1:ma4,1:m_hi2,1:hi5,,,,,,,,,
_mina_020.txt,ie1_01,ie2,2,67%,2:ie2,1:ie1,,,,,,,,,,,,,,
_mats_018.txt,ima1,ima1,15,65%,15:ima1,7:ima2,1:ima3,,,,,,,,,,,,,
_mats_025.txt,ima3,heya4,6,32%,6:heya4,6:ima2,5:ima3,1:heya3,1:heya2,,,,,,,,,,,
_mats_025.txt,jansou,bg_071,4,50%,4:bg_071,3:jansou2,1:jansou,,,,,,,,,,,,,
_mats_025.txt,jd4,jd4,24,89%,24:jd4,2:je4,1:je1,,,,,,,,,,,,,
onik_009_02.txt,jd4_01,jd4,1,50%,1:jd4,1:je2,,,,,,,,,,,,,,
_mats_025.txt,je1,je1,20,40%,20:je1,11:je3,6:jd3,6:je4,5:je2,1:jd1,1:jd2,,,,,,,,,
_mats_025.txt,je2,je4,22,39%,22:je4,16:je2,6:jd3,4:jd1,4:je3,3:je1,1:jd4,,,,,,,,,
_mats_017.txt,ji1,ji1,8,35%,8:ji1,5:ji5,4:ji3,2:ji4,2:jok1,1:ji2,1:hi1,,,,,,,,,
_mats_025.txt,ji1_01,ji5,10,71%,10:ji5,2:ji1,1:jok1,1:ji3,,,,,,,,,,,,
_mats_014.txt,ji2,ji2,31,86%,31:ji2,2:ji1,1:ji3,1:jy2,1:ji7,,,,,,,,,,,
_mats_018.txt,ji2_01,ji2,11,52%,11:ji2,4:ji3,2:ji6,2:ji7,1:ji5,1:js2,,,,,,,,,,
_mats_014.txt,ji6,ji6,11,52%,11:ji6,5:ji4,4:ji3,1:ji5,,,,,,,,,,,,
_mats_021.txt,jok1,jok1,9,90%,9:jok1,1:bg_085,,,,,,,,,,,,,,
_tsum_012_1.txt,jok2,jok2,2,50%,2:jok2,2:bg_085,,,,,,,,,,,,,,
_mina_004.txt,js1,bg_079,2,40%,2:bg_079,2:ji4,1:js1,,,,,,,,,,,,,
_mina_004.txt,js1_01,ji5,2,29%,2:ji5,2:js1,1:ji1,1:js2,1:bg_079,,,,,,,,,,,
_mina_006.txt,js3,js3,3,100%,3:js3,,,,,,,,,,,,,,,
_meak_016_2.txt,js3_01,jsa2,2,100%,2:jsa2,,,,,,,,,,,,,,,
_mina_004.txt,js4,js4,5,56%,5:js4,4:js3,,,,,,,,,,,,,,
_mina_004.txt,js4_01,js4,5,83%,5:js4,1:terebi1,,,,,,,,,,,,,,
_kakera27.txt,js4_02,js4,22,43%,22:js4,14:js5,10:js6,3:jys1,1:jys2,1:heya6,,,,,,,,,,
_mina_006.txt,jsa1,jsa1,5,62%,5:jsa1,2:jysa1,1:jsa3,,,,,,,,,,,,,
_mina_006.txt,jsa7,jsa7,8,26%,8:jsa7,7:heya1,5:jsa4,4:heya6,3:heya4,1:heya2,1:heya5,1:are4_nega1,1:jsa3,,,,,,,
_mats_021.txt,jsa7_01,jsa4,4,67%,4:jsa4,1:jsa2,1:jsa7,,,,,,,,,,,,,
_mats_011.txt,jt1,jt1,12,63%,12:jt1,3:hi6,2:hi2,1:sora,1:m_hi3,,,,,,,,,,,
_mats_018.txt,jt1_01,haikei,1,50%,1:haikei,1:jt1,,,,,,,,,,,,,,
_mats_011.txt,jt2,jt2,9,100%,9:jt2,,,,,,,,,,,,,,,
_mats_018.txt,jt2_01,jt2,3,75%,3:jt2,1:jt1,,,,,,,,,,,,,,
_mats_007.txt,juku1_01,juku1,4,100%,4:juku1,,,,,,,,,,,,,,,
_mats_014.txt,jy1,jy1,7,78%,7:jy1,2:ji1,,,,,,,,,,,,,,
_mats_025.txt,jy2,jy2,11,73%,11:jy2,2:ji2,2:ji7,,,,,,,,,,,,,
_kakera27.txt,jys1,js1,10,48%,10:js1,9:js2,1:ji1,1:jok2,,,,,,,,,,,,
_meak_tips_14.txt,jysa1,jysa1,10,100%,10:jysa1,,,,,,,,,,,,,,,
_mina_021.txt,jyt1,jyt1,4,67%,4:jyt1,1:hi1,1:hi2,,,,,,,,,,,,,
_mats_018.txt,jyt2,jyt2,8,89%,8:jyt2,1:ie2,,,,,,,,,,,,,,
_kakera25.txt,k_kouen1,kouen,1,50%,1:kouen,1:benti1,,,,,,,,,,,,,,
_meak_005.txt,k_kouen1_01,kouen,1,100%,1:kouen,,,,,,,,,,,,,,,
_kakera51.txt,k_oyashiro,NO_MATCH,0,0%,,,,,,,,,,,,,,,,
_mats_010.txt,k_ten2,ho1_tokyo,6,60%,6:ho1_tokyo,4:ho2_tokyo,,,,,,,,,,,,,,
_mats_010.txt,ka1_01,ka2,12,41%,12:ka2,10:ka1,3:ka3,3:g3,1:ka5,,,,,,,,,,,
_mats_022.txt,ka4,ka1,6,40%,6:ka1,3:ka2,3:ka4,2:ka5,1:ka3,,,,,,,,,,,
_mats_020.txt,kai_jyun,ke_s3,5,100%,5:ke_s3,,,,,,,,,,,,,,,
_mats_020.txt,kai_ten,ke_s3,3,60%,3:ke_s3,1:ke6,1:ke5,,,,,,,,,,,,,
_kakera52.txt,kakera,kakera3,2,67%,2:kakera3,1:kakera5,,,,,,,,,,,,,,
_tsum_010.txt,kawa1,kawa1,4,50%,4:kawa1,1:bg_006,1:bg_087,1:ji2,1:kawa5,,,,,,,,,,,
hima_002.txt,kawa4,bg_005,1,50%,1:bg_005,1:hi2,,,,,,,,,,,,,,
_mats_019.txt,ke1,ke1,5,62%,5:ke1,1:kuruma1,1:bg_091,1:sora,,,,,,,,,,,,
_meak_012.txt,ke1_01,ke1,1,100%,1:ke1,,,,,,,,,,,,,,,
_mats_019.txt,ke2,ke2,5,56%,5:ke2,1:bg_173,1:mati_ji4,1:ke4,1:ke3,,,,,,,,,,,
_mats_022.txt,ke5,ke5,31,60%,31:ke5,12:ke6,2:terebi1,1:kuruma1,1:ke_s1,1:tosyo8,1:ka5,1:ka2,1:ka3,1:ka4,,,,,,
_mats_025.txt,ke_ky1,ke_ky1,7,58%,7:ke_ky1,4:ke_ky3,1:ke_ky2,,,,,,,,,,,,,
_mats_012.txt,ke_ky2,tosyo7,7,41%,7:tosyo7,4:ke_ky2,4:tosyo8,2:tosyo3,,,,,,,,,,,,
_mats_019.txt,ke_robbie,ke_r1,8,57%,8:ke_r1,6:ke_r2,,,,,,,,,,,,,,
_mats_019.txt,ke_s2,ke_s1,22,56%,22:ke_s1,15:ke_s2,1:kuruma1,1:ke_ky4,,,,,,,,,,,,
staffroom.txt,ke_shiryou1_02,NO_MATCH,0,0%,,,,,,,,,,,,,,,,
hima_tips_14.txt,kimi_o1_08,terebi1,1,100%,1:terebi1,,,,,,,,,,,,,,,
_kakera52.txt,koudou,mati16,1,100%,1:mati16,,,,,,,,,,,,,,,
_mats_024.txt,koya1,koya2,5,62%,5:koya2,3:koya1,,,,,,,,,,,,,,
_mats_024.txt,koya1_02,koya1,2,67%,2:koya1,1:bg_096,,,,,,,,,,,,,,
hima_004.txt,kukou1,NO_MATCH,0,0%,,,,,,,,,,,,,,,,
_mats_023.txt,kuruma1,kuruma1,30,94%,30:kuruma1,1:kuruma2,1:kuruma3,,,,,,,,,,,,,
_tsum_026.txt,kuruma1_02,kuruma1,16,100%,16:kuruma1,,,,,,,,,,,,,,,
_mats_023.txt,kuruma2,kuruma2,24,92%,24:kuruma2,2:kuruma3,,,,,,,,,,,,,,
hima_003_03.txt,kuruma2_01,kuruma2,2,100%,2:kuruma2,,,,,,,,,,,,,,,
_tsum_026.txt,kuruma2_02,kuruma2,10,100%,10:kuruma2,,,,,,,,,,,,,,,
hima_003_03.txt,kuruma3,m_hi9,2,67%,2:m_hi9,1:kuruma3,,,,,,,,,,,,,,
_tsum_012_2.txt,kuruma3_01,kuruma3,5,71%,5:kuruma3,1:gr2,1:kuruma2,,,,,,,,,,,,,
_tsum_026.txt,kuruma3_02,kuruma3,14,100%,14:kuruma3,,,,,,,,,,,,,,,
_mats_012.txt,kuruma4,kuruma4,18,72%,18:kuruma4,2:kuruma1,2:kuruma8,1:kuruma5,1:ke_s1,1:kuruma6,,,,,,,,,,
tata_011_03.txt,kuruma4_01,kuruma4,3,100%,3:kuruma4,,,,,,,,,,,,,,,
_mats_002.txt,kuruma5,kuruma5,11,92%,11:kuruma5,1:kuruma4,,,,,,,,,,,,,,
_mina_019.txt,kuruma5_01,bg_106,1,33%,1:bg_106,1:mati4,1:kuruma2,,,,,,,,,,,,,
_meak_001.txt,kuruma5_02,kuruma8,3,75%,3:kuruma8,1:kuruma5,,,,,,,,,,,,,,
tata_011_03.txt,kuruma5_03,kuruma5,1,100%,1:kuruma5,,,,,,,,,,,,,,,
_kakera51.txt,kuruma5_04,kuruma4,1,100%,1:kuruma4,,,,,,,,,,,,,,,
_kakera42.txt,kuruma5_05,kuruma5,3,50%,3:kuruma5,3:kuruma4,,,,,,,,,,,,,,
_mats_023.txt,kuruma6,kuruma6,16,84%,16:kuruma6,2:kuruma1,1:sya1,,,,,,,,,,,,,
_tsum_017.txt,m_hi1,m_hi1,14,58%,14:m_hi1,4:ma4,3:ie2,1:m_hi2,1:m_hi7,1:m_hi5,,,,,,,,,,
_mina_020.txt,m_hi1_01,m_hi1,2,100%,2:m_hi1,,,,,,,,,,,,,,,
_mats_025.txt,m_hi3,m_hi3,17,50%,17:m_hi3,11:m_hi2,2:m_hi4,1:bg_005,1:m_hi5,1:m_hi7,1:hi5,,,,,,,,,
_mina_016.txt,m_hi3_01,m_hi3,3,75%,3:m_hi3,1:m_hi2,,,,,,,,,,,,,,
_mats_017.txt,m_hi4,m_hi4,13,52%,13:m_hi4,12:m_hi9,,,,,,,,,,,,,,
_mats_025.txt,m_hi4_01,m_hi4,6,67%,6:m_hi4,1:hi4,1:m_hi9,1:m_hi13,,,,,,,,,,,,
_mina_009_2.txt,m_hi5,m_hi5,5,45%,5:m_hi5,3:m_hi13,2:hi5,1:m_hi15,,,,,,,,,,,,
_tsum_004.txt,m_hi5_01,m_hi5,1,50%,1:m_hi5,1:m_hi7,,,,,,,,,,,,,,
_mina_009_2.txt,m_hi6,m_hi6,7,88%,7:m_hi6,1:m_hi9,,,,,,,,,,,,,,
_kakera38.txt,m_hi6_01,m_hi6,2,40%,2:m_hi6,1:so3,1:m_hi8,1:m_hi12,,,,,,,,,,,,
_mina_tips_005.txt,m_hi8,m_hi8,5,56%,5:m_hi8,1:m_hi7,1:hi3,1:m_hi12,1:mati11,,,,,,,,,,,
_mina_ep.txt,m_y1,m_y1,5,62%,5:m_y1,2:m_y6,1:y_ie2,,,,,,,,,,,,,
_mina_ep.txt,m_y2,m_y2,3,50%,3:m_y2,1:m_y6,1:ymo2,1:ymo3,,,,,,,,,,,,
tata_002.txt,m_y2_02,mati5,1,50%,1:mati5,1:m_hi9,,,,,,,,,,,,,,
_mats_006.txt,m_y2_04,m_y2,4,40%,4:m_y2,2:m_y3,2:m_y6,2:m_y7,,,,,,,,,,,,
_mina_op.txt,m_y4,m_y4,16,84%,16:m_y4,1:sya2,1:m_y6,1:m_hi3,,,,,,,,,,,,
_mats_006.txt,m_y4_04,m_y4,1,100%,1:m_y4,,,,,,,,,,,,,,,
_mina_ep.txt,m_y7,m_y5,1,17%,1:m_y5,1:m_y4,1:m_y6,1:y_ie2,1:m_y1,1:m_y7,,,,,,,,,,
_mats_015.txt,ma1,ma1,19,90%,19:ma1,1:g1,1:ma3,,,,,,,,,,,,,
tata_012.txt,ma1_01,ma1,2,100%,2:ma1,,,,,,,,,,,,,,,
_mina_020.txt,ma1_02,ma1,4,80%,4:ma1,1:ma3,,,,,,,,,,,,,,
_mina_011_1.txt,ma2,ma2,31,94%,31:ma2,2:ma1,,,,,,,,,,,,,,
tata_012.txt,ma2_01,ma2,6,100%,6:ma2,,,,,,,,,,,,,,,
_tsum_tips_012.txt,ma3,ma3,7,58%,7:ma3,3:ma4,1:ie2,1:kusa,,,,,,,,,,,,
tata_012.txt,ma3_01,ma3,1,100%,1:ma3,,,,,,,,,,,,,,,
_tsum_004.txt,ma3_02,ma4,4,100%,4:ma4,,,,,,,,,,,,,,,
_tsum_023_2.txt,ma5,ma5,3,100%,3:ma5,,,,,,,,,,,,,,,
tata_011_03.txt,ma5_01,ma5,1,100%,1:ma5,,,,,,,,,,,,,,,
_mina_003_1.txt,ma_d1,ma_d1,13,62%,13:ma_d1,4:ribing1,3:bg_210,1:bg_116,,,,,,,,,,,,
_tsum_022.txt,ma_d1_01,NO_MATCH,0,0%,,,,,,,,,,,,,,,,
_mina_003_1.txt,ma_g1,ma_g1,12,92%,12:ma_g1,1:ma_g3,,,,,,,,,,,,,,
