ps3 sprite file, ps3 image, ryukishi best match, count of best match, confidence,all matches,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
,Iri_Def2#,sprite/iri1_def2_,19,73%,19:sprite/iri1_def2_,7:sprite/iri2_def2_,,,,,,,,,,,,,,,,,,,,,,,,,
,Iri_MAjime+,sprite/iri2_majime_,1,100%,1:sprite/iri2_majime_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Iri_MAjime#,sprite/iri1_majime_,1,100%,1:sprite/iri1_majime_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Iri_Majime+,sprite/iri2_majime_,43,98%,43:sprite/iri2_majime_,1:sprite/iri2_majime2_,,,,,,,,,,,,,,,,,,,,,,,,,
,Iri_Majime#,sprite/iri1_majime_,19,70%,19:sprite/iri1_majime_,7:sprite/iri2_majime_,1:sprite/iri2_majime2_,,,,,,,,,,,,,,,,,,,,,,,,
,Iri_Majime2+,sprite/iri2_majime2_,23,100%,23:sprite/iri2_majime2_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Iri_Majime2!,sprite/iri3_majime2_,1,100%,1:sprite/iri3_majime2_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Iri_Majime2#,sprite/iri1_majime2_,9,60%,9:sprite/iri1_majime2_,6:sprite/iri2_majime2_,,,,,,,,,,,,,,,,,,,,,,,,,
,Iri_Warai+,sprite/iri2_warai_,16,100%,16:sprite/iri2_warai_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Iri_Warai!,sprite/iri3_warai_,4,100%,4:sprite/iri3_warai_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Iri_Warai#,sprite/iri1_warai_,7,88%,7:sprite/iri1_warai_,1:sprite/iri2_warai_,,,,,,,,,,,,,,,,,,,,,,,,,
,Iri_def2+,sprite/iri2_def2_,2,100%,2:sprite/iri2_def2_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Iri_def2!,sprite/iri3_def2_,2,100%,2:sprite/iri3_def2_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Iri_majime+,sprite/iri2_majime_,22,100%,22:sprite/iri2_majime_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Iri_majime!,sprite/iri3_majime_,3,100%,3:sprite/iri3_majime_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Iri_majime#,sprite/iri1_majime_,8,53%,8:sprite/iri1_majime_,4:sprite/iri2_majime_,1:sprite/oisi1_1_,1:sprite/iri1_majime2_,1:sprite/tomi1_shinken_,,,,,,,,,,,,,,,,,,,,,,
,Iri_majime2+,sprite/iri2_majime2_,14,100%,14:sprite/iri2_majime2_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Iri_majime2!,sprite/iri3_majime2_,2,100%,2:sprite/iri3_majime2_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Iri_majime2#,sprite/iri1_majime2_,5,83%,5:sprite/iri1_majime2_,1:sprite/iri2_majime2_,,,,,,,,,,,,,,,,,,,,,,,,,
