ps3 sprite file, ps3 image, ryukishi best match, manual match, count of best match, confidence,all matches,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
onik_015_02.txt,sprite/flashback/re1a_hig_def_a1_,re_se_hi_a1,,1,100%,1:re_se_hi_a1,,,,,,,,,,,,,,,,,,,
wata_005.txt,sprite/flashback/re1a_komaru_a1_,NO_MATCH,,0,0%,,,,,,,,,,,,,,,,,,,,
wata_005.txt,sprite/flashback/re1a_nande_a1_,re_se_na_a1,,1,100%,1:re_se_na_a1,,,,,,,,,,,,,,,,,,,
tata_013.txt,sprite/flashback/re1a_warai_a1_,re_se_wa_a1,,1,100%,1:re_se_wa_a1,,,,,,,,,,,,,,,,,,,
wata_005.txt,sprite/flashback/re1b_hau_b1_,re_se_ha_b1,,1,100%,1:re_se_ha_b1,,,,,,,,,,,,,,,,,,,
_tsum_021.txt,sprite/flashback/re1b_kaii_b1_,re_se_ka_b1,,1,50%,1:re_se_ka_b1,1:Re_KaiiB1,,,,,,,,,,,,,,,,,,
tata_013.txt,sprite/flashback/re1b_warai_b1_,NO_MATCH,,0,0%,,,,,,,,,,,,,,,,,,,,
_tsum_022.txt,sprite/flashback/re2a_def_a1_,Re_DefA1,,2,100%,2:Re_DefA1,,,,,,,,,,,,,,,,,,,
_tsum_022.txt,sprite/flashback/re2a_hau_a1_,Re_HauA1,,1,100%,1:Re_HauA1,,,,,,,,,,,,,,,,,,,
_tsum_022.txt,sprite/flashback/re2a_nande_a1_,Re_NandeA1,,1,100%,1:Re_NandeA1,,,,,,,,,,,,,,,,,,,
_tsum_022.txt,sprite/flashback/re2a_warai_a1_,Re_WaraiA1,,1,100%,1:Re_WaraiA1,,,,,,,,,,,,,,,,,,,
_tsum_022.txt,sprite/flashback/re2b_bikkuri_b1_,Re_BikkuriB1,,1,100%,1:Re_BikkuriB1,,,,,,,,,,,,,,,,,,,
_tsum_022.txt,sprite/flashback/re2b_def_b1_,Re_DefB1,,1,100%,1:Re_DefB1,,,,,,,,,,,,,,,,,,,
wata_005.txt,sprite/flashback/re2b_kaii_b1_,re_si_ka_b1,,1,100%,1:re_si_ka_b1,,,,,,,,,,,,,,,,,,,
wata_011.txt,sprite/flashback/ri1_def_a1_,ri_se_de_a1,,1,100%,1:ri_se_de_a1,,,,,,,,,,,,,,,,,,,
tata_013.txt,sprite/flashback/ri1_warai_a1_,ri_se_wa_a1,,3,100%,3:ri_se_wa_a1,,,,,,,,,,,,,,,,,,,
hima_002_03.txt,sprite/flashback/rim_def_,NO_MATCH,,0,0%,,,,,,,,,,,,,,,,,,,,
hima_002_03.txt,sprite/flashback/rim_majime_,NO_MATCH,,0,0%,,,,,,,,,,,,,,,,,,,,
hima_002_03.txt,sprite/flashback/rim_warai_,NO_MATCH,,0,0%,,,,,,,,,,,,,,,,,,,,
_tsum_026.txt,sprite/flashback/sa1a_akireru_a1_,sa_se_ak_a1,,1,50%,1:sa_se_ak_a1,1:Sa_AkireruA1,,,,,,,,,,,,,,,,,,
tata_013.txt,sprite/flashback/sa1a_def_a1_,sa_se_de_a1,,3,100%,3:sa_se_de_a1,,,,,,,,,,,,,,,,,,,
tata_013.txt,sprite/flashback/sa1a_hannbeso_a1_,sa_se_hn_b1,,1,100%,1:sa_se_hn_b1,,,,,,,,,,,,,,,,,,,
tata_tips_11.txt,sprite/flashback/sa1a_muhyou_a1_,sa_se_mu_a1,,2,100%,2:sa_se_mu_a1,,,,,,,,,,,,,,,,,,,
tata_013.txt,sprite/flashback/sa1a_naku_a1_,sa_se_na_a1,,2,100%,2:sa_se_na_a1,,,,,,,,,,,,,,,,,,,
tata_013.txt,sprite/flashback/sa1a_warai_a1_,NO_MATCH,,0,0%,,,,,,,,,,,,,,,,,,,,
tata_013.txt,sprite/flashback/sa1b_odoroki_b1_,sa_se_bi_b1,,1,100%,1:sa_se_bi_b1,,,,,,,,,,,,,,,,,,,
tata_008.txt,sprite/flashback/sa1b_warai_b1_,sa_se_wa_b1,,1,100%,1:sa_se_wa_b1,,,,,,,,,,,,,,,,,,,
wata_005.txt,sprite/flashback/sa2a_warai_a1_,sa_si_wa_a1,,1,100%,1:sa_si_wa_a1,,,,,,,,,,,,,,,,,,,
wata_005.txt,sprite/flashback/si1a_wink_a1_,si_si_wi_a1,,1,100%,1:si_si_wi_a1,,,,,,,,,,,,,,,,,,,
wata_005.txt,sprite/flashback/si2_def_a1_,si_ma_de_a1,,1,100%,1:si_ma_de_a1,,,,,,,,,,,,,,,,,,,
wata_005.txt,sprite/flashback/si2_hau_a1_,si_ma_ha_a1,,1,100%,1:si_ma_ha_a1,,,,,,,,,,,,,,,,,,,
wata_005.txt,sprite/flashback/si2_warai_a1_,NO_MATCH,,0,0%,,,,,,,,,,,,,,,,,,,,
wata_005.txt,sprite/flashback/si2_wink_a1_,NO_MATCH,,0,0%,,,,,,,,,,,,,,,,,,,,
tata_011_03.txt,sprite/flashback/tomi1_def_,tm_si_de_a1,,1,100%,1:tm_si_de_a1,,,,,,,,,,,,,,,,,,,
saikoroshi04.txt,sprite/ha1_au_,Ha_AuA1%,,29,83%,29:Ha_AuA1%,3:sprites/hanyu/miko/ha_aua1,2:sprites/hanyu/miko/ha_aua1,1:sprites/hanyu/miko/ha_odorokia1,,,,,,,,,,,,,,,,
saikoroshi04.txt,sprite/ha1_def_,Ha_DefA1%,,15,79%,15:Ha_DefA1%,2:sprites/hanyu/miko/ha_waraia1,1:Ha_defA1%,1:Ha_DefA2%,,,,,,,,,,,,,,,,
saikoroshi04.txt,sprite/ha1_def2_,Ha_NiramuA1%,,5,45%,5:Ha_NiramuA1%,3:Ha_DefA2%,2:Ha_SinmyouA1%,1:sprites/hanyu/miko/ha_waraia1,,,,,,,,,,,,,,,,
saikoroshi04.txt,sprite/ha1_muhyou_,sprites/hanyu/miko/ha_niramua1,,5,71%,5:sprites/hanyu/miko/ha_niramua1,1:sprites/hanyu/miko/ha_odorokia1,1:sprites/hanyu/miko/ha_waraia1,,,,,,,,,,,,,,,,,
saikoroshi04.txt,sprite/ha1_odoroki_,sprites/hanyu/miko/ha_odorokia1,,6,35%,6:sprites/hanyu/miko/ha_odorokia1,6:sprites/hanyu/miko/ha_odorokia1,4:Ha_OdorokiA1%,1:sprites/hanyu/miko/ha_aua1,,,,,,,,,,,,,,,,
_mats_012.txt,sprite/ha1_sakebi_,Ha_NiramuA1%,,1,100%,1:Ha_NiramuA1%,,,,,,,,,,,,,,,,,,,
saikoroshi04.txt,sprite/ha1_shinken_,sprites/hanyu/miko/ha_niramua1,,2,67%,2:sprites/hanyu/miko/ha_niramua1,1:Ha_OyasiroA1%,,,,,,,,,,,,,,,,,,
saikoroshi04.txt,sprite/ha1_warai_,Ha_WaraiA1%,,11,79%,11:Ha_WaraiA1%,2:sprites/hanyu/miko/ha_waraia1,1:sprites/hanyu/miko/ha_waraia1,,,,,,,,,,,,,,,,,
hirukowashi04.txt,sprite/ha1_yowaki_,Ha_YowakiA1%,,25,83%,25:Ha_YowakiA1%,3:sprites/hanyu/miko/ha_yowakia1,1:sprites/hanyu/miko/ha_odorokia1,1:sprites/hanyu/miko/ha_yowakia1,,,,,,,,,,,,,,,,
_mats_016.txt,sprite/ha2a_au_,Ha_AuA1,,1,100%,1:Ha_AuA1,,,,,,,,,,,,,,,,,,,
_mats_025.txt,sprite/ha2a_def_,Ha_DefA1,,5,42%,5:Ha_DefA1,3:Ha_NiramuA1,1:Ri_WaraiA1#,1:Ha_AuA1,1:Kei_Warai#,1:Ha_DefA1%,,,,,,,,,,,,,,
_mats_024.txt,sprite/ha2a_def2_,Ha_NiramuA1,,18,95%,18:Ha_NiramuA1,1:Ha_SinmyouA1,,,,,,,,,,,,,,,,,,
_mats_016.txt,sprite/ha2a_muhyou_,NO_MATCH,,0,0%,,,,,,,,,,,,,,,,,,,,
_mats_021.txt,sprite/ha2a_odoroki_,Ha_OdorokiA1,,2,67%,2:Ha_OdorokiA1,1:Ha_NiramuA1,,,,,,,,,,,,,,,,,,
_mats_018.txt,sprite/ha2a_sakebi_,Ha_NiramuA1,,1,100%,1:Ha_NiramuA1,,,,,,,,,,,,,,,,,,,
_mats_025.txt,sprite/ha2a_warai_,Ha_WaraiA1,,11,79%,11:Ha_WaraiA1,1:Ha_OdorokiA1,1:Ha_Waraia1,1:Ha_WaraiA1%,,,,,,,,,,,,,,,,
_mats_025.txt,sprite/ha2a_yowaki_,Ha_YowakiA1,,3,100%,3:Ha_YowakiA1,,,,,,,,,,,,,,,,,,,
_mats_023.txt,sprite/ha2b_def_,Ha_DefA1,,1,100%,1:Ha_DefA1,,,,,,,,,,,,,,,,,,,
_mats_021.txt,sprite/ha2b_def2_,Ri_NikoA1#,,1,100%,1:Ri_NikoA1#,,,,,,,,,,,,,,,,,,,
_mats_022.txt,sprite/ha2b_warai_,Ha_WaraiA1,,4,100%,4:Ha_WaraiA1,,,,,,,,,,,,,,,,,,,
omake.txt,sprite/ha3a_au_,Ha_AuA1,,11,85%,11:Ha_AuA1,1:Ha_Aua1,1:sprites/hanyu/ha_aua1,,,,,,,,,,,,,,,,,
omake.txt,sprite/ha3a_def_,Ha_DefA1,,7,70%,7:Ha_DefA1,1:sprites/mion/me_akuwaraia1,1:sprites/hanyu/ha_aua1,1:sprites/satosi/sato_komaru2,,,,,,,,,,,,,,,,
_mats_013.txt,sprite/ha3a_def2_,Ha_DefA2,,2,67%,2:Ha_DefA2,1:Ha_NiramuA1,,,,,,,,,,,,,,,,,,
_mats_025.txt,sprite/ha3a_odoroki_,Ha_OdorokiA1,,11,100%,11:Ha_OdorokiA1,,,,,,,,,,,,,,,,,,,
omake.txt,sprite/ha3a_shinken_,NO_MATCH,,0,0%,,,,,,,,,,,,,,,,,,,,
omake.txt,sprite/ha3a_warai_,Ha_WaraiA1,,10,67%,10:Ha_WaraiA1,2:sprites/hanyu/ha_aua1,1:Ha_waraiA1,1:sprites/sion/si_haua1,1:sprites/rika/ri_waraia1,,,,,,,,,,,,,,,
_mats_013.txt,sprite/ha3a_yowaki_,Ha_YowakiA1,,9,100%,9:Ha_YowakiA1,,,,,,,,,,,,,,,,,,,
saikoroshi03.txt,sprite/ha4_def_,sprites/hanyu/mikotrans/ha_defa2,,1,33%,1:sprites/hanyu/mikotrans/ha_defa2,1:sprites/hanyu/mikotrans/ha_niramua1,1:sprites/hanyu/mikotrans/ha_defa1,,,,,,,,,,,,,,,,,
saikoroshi03.txt,sprite/ha4_def2_,sprites/hanyu/mikotrans/ha_niramua1,,6,86%,6:sprites/hanyu/mikotrans/ha_niramua1,1:sprites/hanyu/mikotrans/ha_defa2,,,,,,,,,,,,,,,,,,
saikoroshi03.txt,sprite/ha4_muhyou_,sprites/hanyu/mikotrans/ha_niramua1,,3,100%,3:sprites/hanyu/mikotrans/ha_niramua1,,,,,,,,,,,,,,,,,,,
saikoroshi03.txt,sprite/ha4_shinken_,sprites/hanyu/mikotrans/ha_niramua1,,1,100%,1:sprites/hanyu/mikotrans/ha_niramua1,,,,,,,,,,,,,,,,,,,
saikoroshi03.txt,sprite/ha4_yowaki_,sprites/hanyu/mikotrans/ha_niramua1,,5,100%,5:sprites/hanyu/mikotrans/ha_niramua1,,,,,,,,,,,,,,,,,,,
batsukoishi01.txt,sprite/iri1_def1_,ir_si_de_a1,,27,56%,27:ir_si_de_a1,19:Iri_Def1#,1:ta_si_de_a1,1:si_si_aw_a1,,,,,,,,,,,,,,,,
omake.txt,sprite/iri1_def2_,ir_si_de_a2,,26,51%,26:ir_si_de_a2,19:Iri_Def2#,2:sprites/irie/sifuku/iri_def2,1:ir_si_wa_a1,1:oi_si_wa_a1,1:re_si_wa_a1,1:sprites/keiiti/sifuku/kei_warai,,,,,,,,,,,,,
batsukoishi01.txt,sprite/iri1_majime_,Iri_Majime#,,19,53%,19:Iri_Majime#,8:Iri_majime#,5:ir_si_ma_a1,1:ir_si_de_a2,1:no_data,1:Iri_MAjime#,1:Tomi_Majime#,,,,,,,,,,,,,
batsukoishi01.txt,sprite/iri1_majime2_,Iri_Majime2#,,9,36%,9:Iri_Majime2#,5:ir_si_ma_a2,5:Iri_majime2#,1:si_si_wa_b1,1:ir_si_de_a1,1:me_se_bi_a1,1:Iri_majime#,1:sprites/irie/sifuku/iri_warai,1:sprites/sion/sifuku/si_waraib1,,,,,,,,,,,
omake.txt,sprite/iri1_warai_,ir_si_wa_a1,,16,57%,16:ir_si_wa_a1,7:Iri_Warai#,2:Iri_warai#,1:si_si_aw_a1,1:re_se_ik_b1,1:sprites/irie/sifuku/iri_warai,,,,,,,,,,,,,,
saikoroshi04.txt,sprite/iri2_def1_,Iri_Def1+,,44,61%,44:Iri_Def1+,20:ir_hk_de_a1,7:Iri_Def1#,1:Si_MajimeB1#,,,,,,,,,,,,,,,,
saikoroshi04.txt,sprite/iri2_def2_,Iri_Def2+,,27,57%,27:Iri_Def2+,11:ir_hk_de_a2,7:Iri_Def2#,2:Iri_def2+,,,,,,,,,,,,,,,,
saikoroshi04.txt,sprite/iri2_majime_,Iri_Majime+,,43,46%,43:Iri_Majime+,22:Iri_majime+,16:ir_hk_ma_a1,7:Iri_Majime#,4:Iri_majime#,1:Iri_MAjime+,,,,,,,,,,,,,,
saikoroshi04.txt,sprite/iri2_majime2_,Iri_Majime2+,,23,44%,23:Iri_Majime2+,14:Iri_majime2+,6:Iri_Majime2#,4:ir_hk_ma_a2,1:ir_hk_ma_a1,1:Iri_Majime+,1:iri_majime2#,1:Iri_majime2#,1:Iri_Majime#,,,,,,,,,,,
_mats_022.txt,sprite/iri2_warai_,Iri_Warai+,,16,70%,16:Iri_Warai+,6:ir_hk_wa_a1,1:Iri_Warai#,,,,,,,,,,,,,,,,,
batsukoishi01.txt,sprite/iri3_def1_,Iri_Def1!,,10,67%,10:Iri_Def1!,4:ir_yk_de_a1,1:sa_se_wa_a1,,,,,,,,,,,,,,,,,
_meak_007.txt,sprite/iri3_def2_,Iri_Def2!,,9,64%,9:Iri_Def2!,3:ir_yk_de_a2,2:Iri_def2!,,,,,,,,,,,,,,,,,
batsukoishi01.txt,sprite/iri3_majime_,Iri_majime!,,3,100%,3:Iri_majime!,,,,,,,,,,,,,,,,,,,
batsukoishi01.txt,sprite/iri3_majime2_,Iri_majime2!,,2,50%,2:Iri_majime2!,1:Iri_Majime2!,1:sprites/sion/sifuku/si_waraib1,,,,,,,,,,,,,,,,,
_meak_006.txt,sprite/iri3_warai_,Iri_Warai!,,4,40%,4:Iri_Warai!,3:ir_yk_wa_a1,3:Iri_warai!,,,,,,,,,,,,,,,,,
_mina_019.txt,sprite/kameda1a_def_,NO_MATCH,,0,0%,,,,,,,,,,,,,,,,,,,,
_mina_013.txt,sprite/kameda1a_niyari_,NO_MATCH,,0,0%,,,,,,,,,,,,,,,,,,,,
_mina_013.txt,sprite/kameda1a_shinken_,NO_MATCH,,0,0%,,,,,,,,,,,,,,,,,,,,
_mina_013.txt,sprite/kameda1a_warai_,NO_MATCH,,0,0%,,,,,,,,,,,,,,,,,,,,
_mina_019.txt,sprite/kameda1b_odoroki_,no_data,,1,100%,1:no_data,,,,,,,,,,,,,,,,,,,
tata_003.txt,sprite/kameda2a_def_,NO_MATCH,,0,0%,,,,,,,,,,,,,,,,,,,,
tata_003.txt,sprite/kameda2a_niyari_,NO_MATCH,,0,0%,,,,,,,,,,,,,,,,,,,,
tata_003.txt,sprite/kameda2a_shinken_,NO_MATCH,,0,0%,,,,,,,,,,,,,,,,,,,,
tata_003.txt,sprite/kameda2a_warai_,NO_MATCH,,0,0%,,,,,,,,,,,,,,,,,,,,
omake.txt,sprite/kasa_1_,Kasa1,,33,97%,33:Kasa1,1:sprites/sonota/kasa1,,,,,,,,,,,,,,,,,,
_mats_022.txt,sprite/kasa_2_,Kasa2,,24,92%,24:Kasa2,2:Kasa3,,,,,,,,,,,,,,,,,,
_mats_022.txt,sprite/kasa_3_,Kasa3,,11,92%,11:Kasa3,1:Si_OdorokiA1#,,,,,,,,,,,,,,,,,,
saikoroshi03.txt,sprite/kei1_def1_,Kei_Def1,,47,92%,47:Kei_Def1,1:Kei_Warai,1:sprites/keiiti/kei_def1,1:sprites/keiiti/kei_warai,1:sprites/hanyu/ha_aua1,,,,,,,,,,,,,,,
_mats_013.txt,sprite/kei1_def2_,Kei_Def2,,22,92%,22:Kei_Def2,1:kei_Def2,1:Kei_def2,,,,,,,,,,,,,,,,,
hirukowashi02_3.txt,sprite/kei1_ikari1_,Kei_Ikari1,,10,67%,10:Kei_Ikari1,3:sprites/keiiti/kei_ikari1,1:Re_OkoruA1,1:sprites/rena/re_kaiib1,,,,,,,,,,,,,,,,
hirukowashi02_3.txt,sprite/kei1_ikari2_,Kei_Ikari2,,7,88%,7:Kei_Ikari2,1:sprites/rena/re_waraia1,,,,,,,,,,,,,,,,,,
omake.txt,sprite/kei1_komaru_,Kei_Komaru,,12,55%,12:Kei_Komaru,2:Kei_komaru,2:sprites/keiiti/kei_komaru,1:Kei_Nayamu,1:no_data,1:Re_BikkuriA1,1:sprites/rena/re_bikkuria1,1:sprites/rena/re_waraia1,1:sprites/sion/sifuku/si_akuwaraia1,,,,,,,,,,,
hirukowashi02_3.txt,sprite/kei1_majime_,Kei_Majime,,11,79%,11:Kei_Majime,1:Re_DefA1,1:Kei_Nayamu,1:sprites/keiiti/kei_majime,,,,,,,,,,,,,,,,
hirukowashi02.txt,sprite/kei1_majime2_,Kei_Majime2,,3,60%,3:Kei_Majime2,2:Kei_majime2,,,,,,,,,,,,,,,,,,
omake.txt,sprite/kei1_nayamu_,Kei_Nayamu,,10,53%,10:Kei_Nayamu,4:sprites/keiiti/kei_nayamu,1:no_data,1:kei_Nayamu,1:Kei_nayamu,1:sprites/sion/sifuku/si_akuwaraia1,1:sprites/rika/ri_waraia1,,,,,,,,,,,,,
omake.txt,sprite/kei1_warai_,Kei_Warai,,42,75%,42:Kei_Warai,6:sprites/keiiti/kei_warai,2:kei_Warai,2:Kei_warai,1:sprites/rena/taisoufuku/re_haua1,1:sprites/rena/re_kaiib1,1:sprites/sion/sifuku/si_akuwaraia1,1:sprites/sion/si_haua1,,,,,,,,,,,,
saikoroshi04.txt,sprite/kei2_def1_,Kei_Def1#,,41,93%,41:Kei_Def1#,2:sprites/keiiti/sifuku/kei_def1,1:Kei_Def1,,,,,,,,,,,,,,,,,
_mats_021.txt,sprite/kei2_def2_,Kei_Def2#,,14,88%,14:Kei_Def2#,1:Kei_def2#,1:Kei_Def1#,,,,,,,,,,,,,,,,,
hirukowashi03.txt,sprite/kei2_ikari1_,Kei_Ikari1#,,9,100%,9:Kei_Ikari1#,,,,,,,,,,,,,,,,,,,
saikoroshi00.txt,sprite/kei2_ikari2_,Kei_Ikari2#,,2,25%,2:Kei_Ikari2#,1:Kei_Nayamu#,1:Kei_Ikari2,1:Kei_Ikari1#,1:Re_OkoruB1#,1:sprites/keiiti/sifuku/kei_warai,1:sprites/keiiti/sifuku/kei_ikari2,,,,,,,,,,,,,
hirukowashi03.txt,sprite/kei2_komaru_,Kei_Komaru#,,11,55%,11:Kei_Komaru#,2:sprites/keiiti/sifuku/kei_komaru,1:no_data,1:Re_KomaruA1#,1:Kei_Nayamu#,1:Kei_komaru#,1:Sa_HannbesoB1#,1:Kei_Warai#,1:Kei_Def1#,,,,,,,,,,,
_mats_021.txt,sprite/kei2_majime_,Kei_Majime#,,7,54%,7:Kei_Majime#,4:Kei_majime#,1:Kei_majime2#,1:Kei_Majime,,,,,,,,,,,,,,,,
batsukoishi01.txt,sprite/kei2_majime2_,Kei_Majime2#,,2,40%,2:Kei_Majime2#,1:Kei_majime2#,1:kei_majime2#,1:sprites/keiiti/sifuku/kei_warai,,,,,,,,,,,,,,,,
saikoroshi04.txt,sprite/kei2_nayamu_,Kei_Nayamu#,,8,53%,8:Kei_Nayamu#,2:sprites/keiiti/sifuku/kei_warai,1:Kei_Nayamu,1:Me_MajimeA2#,1:Kei_nayamu#,1:sprites/keiiti/sifuku/kei_def1,1:sprites/keiiti/sifuku/kei_nayamu,,,,,,,,,,,,,
saikoroshi04.txt,sprite/kei2_warai_,Kei_Warai#,,48,87%,48:Kei_Warai#,2:Kei_warai#,2:kei_Warai#,2:sprites/keiiti/sifuku/kei_warai,1:Ha_DefA1,,,,,,,,,,,,,,,
batsukoishi01.txt,sprite/kei6_komaru_,sprites/sion/sifuku/si_waraib1,,1,100%,1:sprites/sion/sifuku/si_waraib1,,,,,,,,,,,,,,,,,,,
batsukoishi01.txt,sprite/kei6_nayamu_,NO_MATCH,,0,0%,,,,,,,,,,,,,,,,,,,,
_mina_019.txt,sprite/ki_def_,no_data,,1,100%,1:no_data,,,,,,,,,,,,,,,,,,,
_mina_019.txt,sprite/ki_komaru_,NO_MATCH,,0,0%,,,,,,,,,,,,,,,,,,,,
_mina_018.txt,sprite/ki_warai_,Aka_Def,,1,100%,1:Aka_Def,,,,,,,,,,,,,,,,,,,
_mats_019.txt,sprite/kuma_def_,no_data,,3,100%,3:no_data,,,,,,,,,,,,,,,,,,,
_tsum_026.txt,sprite/kuma_komaru_,NO_MATCH,,0,0%,,,,,,,,,,,,,,,,,,,,
_mats_017.txt,sprite/kuma_warai_,NO_MATCH,,0,0%,,,,,,,,,,,,,,,,,,,,
