ps3 sprite file, ps3 image, ryukishi best match, count of best match, confidence,all matches,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
_meak_014_1.txt,mob1_01,Mo_B1,4,67%,4:Mo_B1,1:M_Hi9,1:Hi9,,,,,,,,,,,,,,
_mina_op.txt,moon,Moon,79,81%,79:Moon,9:bg_122,2:Sora6,1:bg_251,1:bg_243,1:bg_203,1:Sora,1:Sora2,1:Gy6,1:Gy8,1:Gy7,,,,,,
_mina_ep.txt,moon_01,Moon,-1,0%,,,,,,,,,,,,,,,,,
_mina_tips_012.txt,nort,Nort,2,67%,2:Nort,1:Nort2,,,,,,,,,,,,,,,
_meak_019_1.txt,oki_g3,bg_149,14,33%,14:bg_149,14:bg_150,7:Oki_G2,7:Oki_G3,1:Oki_G1,,,,,,,,,,,,
_tsum_tips_014.txt,oni1,Oni2,3,60%,3:Oni2,1:Hi2,1:Oni1,,,,,,,,,,,,,,
_tsum_013.txt,oyashirosama,white,-1,0%,,,,,,,,,,,,,,,,,
_tsum_016.txt,re_g1,Re_G1,3,50%,3:Re_G1,1:Re_S2_Rena,1:Si_H2,1:Re_H3,,,,,,,,,,,,,
_mina_004.txt,re_h1,Re_H1,8,80%,8:Re_H1,1:Si_H6,1:Re_H2,,,,,,,,,,,,,,
_tsum_018.txt,re_h3,Re_H3,6,86%,6:Re_H3,1:Re_H2,,,,,,,,,,,,,,,
_tsum_018.txt,re_s2,Re_S2_Rena,6,50%,6:Re_S2_Rena,3:Re_S1_Rena,1:Sora,1:Re_H2,1:Si_d1,,,,,,,,,,,,
_tsum_009.txt,re_s4,Re_S4,1,100%,1:Re_S4,,,,,,,,,,,,,,,,
_tsum_021.txt,re_s4_01,Re_S1_Rena,1,33%,1:Re_S1_Rena,1:Re_S3,1:Re_S4,,,,,,,,,,,,,,
_mina_tips_008.txt,re_tel,Re_Tel,22,81%,22:Re_Tel,3:So_G1,2:Si_H2,,,,,,,,,,,,,,
_mina_013.txt,res1,bg_161,24,39%,24:bg_161,9:Re1,6:bg_166,6:Re6,5:bg_163,5:Re5,5:Re3,1:bg_165,1:bg0,,,,,,,,
wata_005.txt,res1_01,bg_161,2,67%,2:bg_161,1:bg_163,,,,,,,,,,,,,,,
_mina_013.txt,res2,bg_162,9,56%,9:bg_162,3:Re6,1:bg_163,1:Re4,1:Re1,1:Re3,,,,,,,,,,,
_mina_013.txt,res4,Re4,14,56%,14:Re4,6:bg_164,2:bg_166,2:Re6,1:Re3,,,,,,,,,,,,
wata_002.txt,res4_01,bg_164,2,100%,2:bg_164,,,,,,,,,,,,,,,,
_mina_013.txt,res5,bg_165,31,37%,31:bg_165,16:bg_163,16:bg_166,6:Re5,4:Re3,3:Re1,2:Re6,1:bg_161,1:bg_164,1:Re2,1:Re_s1_Resut,1:Re4,,,,,
wata_002.txt,res5_01,bg_165,2,100%,2:bg_165,,,,,,,,,,,,,,,,
_mina_013.txt,res_s1,Re_s1_Resut,7,50%,7:Re_s1_Resut,5:Re_s2_Resut,1:bg_168,1:bg_167,,,,,,,,,,,,,
wata_005.txt,res_s1_01,bg_169,1,50%,1:bg_169,1:bg_128,,,,,,,,,,,,,,,
_meak_019_1.txt,rouka1,bg_197,3,75%,3:bg_197,1:Rouka1,,,,,,,,,,,,,,,
_tsum_023_1.txt,rouka1_01,Rouka2,3,60%,3:Rouka2,1:Ima3,1:RyouteiG,,,,,,,,,,,,,,
_meak_017.txt,rouka1_02,Rouka3,1,100%,1:Rouka3,,,,,,,,,,,,,,,,
_tsum_023_1.txt,ryoutei2_01,Ryoutei2,7,33%,7:Ryoutei2,6:bg_068,5:Ryoutei1,3:bg_069,,,,,,,,,,,,,
_mina_op.txt,ryuuketu1,ryuuketu1,43,88%,43:ryuuketu1,2:Ryuuketu1,1:Ji2_mono1,1:JSA2_mono1,1:white_mono1,1:white_mono1_6,,,,,,,,,,,
_mina_006.txt,saiguden_01,bg_178,3,25%,3:bg_178,3:bg_177,2:JSA3,1:bg_179,1:JSA5,1:JSA8,1:JSA4,,,,,,,,,,
wata_012_03.txt,saiguden_02,bg_177,5,83%,5:bg_177,1:bg_179,,,,,,,,,,,,,,,
_tsum_007.txt,saten1,Saten1,3,50%,3:Saten1,2:Saten3,1:Saten2,,,,,,,,,,,,,,
_tsum_007.txt,saten2,Saten2,3,75%,3:Saten2,1:Saten3,,,,,,,,,,,,,,,
_tsum_019.txt,si_g1,Si_H1,7,54%,7:Si_H1,3:Si_G1,2:Si_H3,1:Si_H4,,,,,,,,,,,,,
_mina_tips_004.txt,si_h2,Si_H2,15,71%,15:Si_H2,3:Si_H3,1:Si_H1,1:Si_H6,1:Si_H4,,,,,,,,,,,,
_tsum_014.txt,si_h2_01,Si_H2,12,80%,12:Si_H2,1:Sinario_A,1:Si_H3,1:Re_H3,,,,,,,,,,,,,
_meak_ep_02.txt,si_h3,Si_H3,5,83%,5:Si_H3,1:Si_H2,,,,,,,,,,,,,,,
_meak_016_1.txt,si_h6,Si_H6,-1,0%,,,,,,,,,,,,,,,,,
_meak_011.txt,si_mansion,Si_G2,1,100%,1:Si_G2,,,,,,,,,,,,,,,,
_tsum_tips_014.txt,simen3,bg_181,13,42%,13:bg_181,9:bg_180,3:bg_183,3:Simen2,2:bg_182,1:Simen1,,,,,,,,,,,
_mina_006.txt,sinryou_matiai1,bg_184,11,69%,11:bg_184,2:Sinryo_matiai2,2:Sinryo_matiai1,1:bg_185,,,,,,,,,,,,,
hima_003_05.txt,sinryou_matiai1_01,bg_184,1,100%,1:bg_184,,,,,,,,,,,,,,,,
_mina_023_2.txt,sinryou_sinsatu1,Sinryo_sinsatu1,8,35%,8:Sinryo_sinsatu1,6:bg_186,6:Sinryo_sinsatu2,3:Sinryo_sinsatu3,,,,,,,,,,,,,
hima_003_04.txt,sinryou_sinsatu1_02,bg_186,7,100%,7:bg_186,,,,,,,,,,,,,,,,
hima_003_05.txt,sinryou_sinsatu2,bg_186,1,100%,1:bg_186,,,,,,,,,,,,,,,,
_mina_023_2.txt,sinryou_sinsatu3,Sinryo_sinsatu2,4,50%,4:Sinryo_sinsatu2,2:Sinryo_sinsatu3,2:Sinryo_sinsatu1,,,,,,,,,,,,,,
_mina_002_1.txt,sinryou_sinsatu4,Sinryo_sinsatu4,3,60%,3:Sinryo_sinsatu4,1:bg_134,1:Sinryo_soto5,,,,,,,,,,,,,,
_mina_026.txt,sinryou_soto1,bg_187,4,36%,4:bg_187,3:Sinryo_soto1,2:bg_188,2:Sinryo_soto2,,,,,,,,,,,,,
_mina_009_2.txt,sinryou_soto1_01,Sinryo_soto1,2,100%,2:Sinryo_soto1,,,,,,,,,,,,,,,,
_mina_023_2.txt,sinryou_soto1_02,Sinryo_soto1,-1,0%,,,,,,,,,,,,,,,,,
tata_014.txt,sinryou_soto3,bg_188,3,60%,3:bg_188,1:bg_191,1:bg_190,,,,,,,,,,,,,,
_mina_009_2.txt,sinryou_soto3_01,Sinryo_soto3,1,100%,1:Sinryo_soto3,,,,,,,,,,,,,,,,
_meak_ep_01.txt,so1,So1,3,60%,3:So1,2:bg_198,,,,,,,,,,,,,,,
_meak_021_2.txt,so1_02,bg_198,1,100%,1:bg_198,,,,,,,,,,,,,,,,
_mina_op.txt,so2,So2,3,38%,3:So2,2:bg_199,1:bg_145,1:Heya3,1:Mo5,,,,,,,,,,,,
tata_009_02.txt,so2_01,bg_199,-1,0%,,,,,,,,,,,,,,,,,
_meak_024.txt,so3,bg_200,2,33%,2:bg_200,1:bg_145,1:bg_218,1:bg_039,1:Mo5,,,,,,,,,,,,
_mina_018.txt,so5,So5,4,57%,4:So5,2:So6,1:So2,,,,,,,,,,,,,,
_meak_012.txt,so6,So3,1,100%,1:So3,,,,,,,,,,,,,,,,
_meak_024.txt,so_chikafuroa,JSA4,3,60%,3:JSA4,1:JSA5,1:JSA3,,,,,,,,,,,,,,
_meak_024.txt,so_chikaido1,JSA7,3,100%,3:JSA7,,,,,,,,,,,,,,,,
_mina_op.txt,so_d1,bg_194,4,57%,4:bg_194,3:So_D1,,,,,,,,,,,,,,,
_meak_021_2.txt,so_d1_01,So_D1,7,88%,7:So_D1,1:bg_206,,,,,,,,,,,,,,,
_meak_024.txt,so_g1,So_G1,9,75%,9:So_G1,3:bg_195,,,,,,,,,,,,,,,
_meak_tips_13.txt,so_k1,So_K1,3,60%,3:So_K1,2:bg_196,,,,,,,,,,,,,,,
_mina_tips_005.txt,sora,Sora,39,41%,39:Sora,25:bg_203,11:Sora3,4:Sora2,3:bg_205,1:bg_150,1:bg_149,1:bg_208,1:bg_044,1:bg_042,1:bg_040,1:bg_204,1:Kouen,1:M_Hi6,1:M_Hi5,1:M_Hi13,1:Sora6
_mina_023_2.txt,sora2,bg_204,10,32%,10:bg_204,10:Sora2,4:Sora,1:bg_038,1:bg_067,1:bg_203,1:bg_205,1:Hi4,1:M_Hi12,1:Gy1,,,,,,,
_mina_tips_003.txt,sora5,bg_203,4,33%,4:bg_203,3:bg_205,3:Sora5,1:bg_115,1:bg_204,,,,,,,,,,,,
_mina_016.txt,sora6,Sora6,2,50%,2:Sora6,1:bg_204,1:Kuruma2,,,,,,,,,,,,,,
_tsum_026.txt,sora_01,Gy7,2,50%,2:Gy7,1:bg_117,1:Sora6,,,,,,,,,,,,,,
hima_003_04.txt,ta1,bg_214,2,100%,2:bg_214,,,,,,,,,,,,,,,,
_mina_009_2.txt,ta2,bg_050,1,25%,1:bg_050,1:bg_215,1:Ta2_Mura,1:Hi7,,,,,,,,,,,,,
onik_015_03.txt,tegami1,bg_219,1,100%,1:bg_219,,,,,,,,,,,,,,,,
onik_015_03.txt,tegami2,bg_220,1,100%,1:bg_220,,,,,,,,,,,,,,,,
onik_015_03.txt,tegami3,bg_221,1,100%,1:bg_221,,,,,,,,,,,,,,,,
_meak_005.txt,tennai1,Tennai1,5,56%,5:Tennai1,3:bg_222,1:Sora,,,,,,,,,,,,,,
_meak_005.txt,tirasi1,Tirasi1,1,100%,1:Tirasi1,,,,,,,,,,,,,,,,
_mina_ep.txt,torakku2,Torakku2,6,100%,6:Torakku2,,,,,,,,,,,,,,,,
hima_001.txt,torishirabeshitu,bg_171,1,100%,1:bg_171,,,,,,,,,,,,,,,,
_meak_012.txt,torishirabeshitu_01,black,-1,0%,,,,,,,,,,,,,,,,,
_mina_019.txt,tosyo1,Tosyo1,13,72%,13:Tosyo1,4:Mati3,1:bg_227,,,,,,,,,,,,,,
_mina_016.txt,tosyo1_01,Mati3,3,60%,3:Mati3,2:Tosyo1,,,,,,,,,,,,,,,
_tsum_013.txt,tosyo2,Tosyo2,4,27%,4:Tosyo2,4:Tosyo8,3:Tosyo3,2:Tosyo7,1:bg_228,1:Tosyo4,,,,,,,,,,,
_tsum_020.txt,y_damu2,Y_Damu2,2,100%,2:Y_Damu2,,,,,,,,,,,,,,,,
_meak_022_2.txt,y_ie1,bg_242,1,100%,1:bg_242,,,,,,,,,,,,,,,,
_tsum_016.txt,y_kawa3,bg_247,5,71%,5:bg_247,1:bg_246,1:Y_kawa3,,,,,,,,,,,,,,
_meak_014_1.txt,y_oni1,bg_160,1,50%,1:bg_160,1:Oni1,,,,,,,,,,,,,,,
tata_011_02.txt,y_oni1_01,bg_259,1,50%,1:bg_259,1:bg_260,,,,,,,,,,,,,,,
_mina_ep.txt,yg2,YG2,1,100%,1:YG2,,,,,,,,,,,,,,,,
_mina_ep.txt,ygk1,YGk1,1,100%,1:YGk1,,,,,,,,,,,,,,,,
_mina_ep.txt,ygk3,YGk2,1,50%,1:YGk2,1:YGk3,,,,,,,,,,,,,,,
_mina_028.txt,yhu2,bg_241,4,31%,4:bg_241,4:YHu2,3:bg_240,1:YHu1,1:Hu1,,,,,,,,,,,,
_mina_028.txt,ymo1,YMo1,7,78%,7:YMo1,1:Mo1,1:M_Hi14,,,,,,,,,,,,,,
tata_011_02.txt,ymo1_01,bg_256,2,100%,2:bg_256,,,,,,,,,,,,,,,,
_mina_028.txt,ymo2,YMo2,6,33%,6:YMo2,5:M_Y2,4:M_Y6,1:YMo3,1:M_Y5,1:M_Y3,,,,,,,,,,,
tata_012.txt,ymo2_01,bg_257,2,67%,2:bg_257,1:bg_252,,,,,,,,,,,,,,,
_mina_028.txt,ymo3,YMo3,8,47%,8:YMo3,5:M_Y3,2:Mo3,1:M_Y1,1:M_Y6,,,,,,,,,,,,
tata_012.txt,ymo3_01,bg_258,8,73%,8:bg_258,3:bg_257,,,,,,,,,,,,,,,
tata_012.txt,yugk3_01,bg_110,1,50%,1:bg_110,1:bg_109,,,,,,,,,,,,,,,
