ps3 sprite file, ps3 image, ryukishi best match, count of best match, confidence,all matches,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
onik_009.txt,hi1_01,bg_047,1,100%,1:bg_047,,,,,,,,,,,,,,,,
hima_002.txt,hi3,bg_049,4,100%,4:bg_049,,,,,,,,,,,,,,,,
_mina_009_2.txt,hi4,bg_050,3,60%,3:bg_050,1:bg_051,1:Hi4,,,,,,,,,,,,,,
_tsum_004.txt,hi4_01,bg_050,1,50%,1:bg_050,1:Hi4,,,,,,,,,,,,,,,
_tsum_006.txt,hi5,bg_051,6,86%,6:bg_051,1:Hi5,,,,,,,,,,,,,,,
_tsum_004.txt,hi5_01,bg_043,1,33%,1:bg_043,1:bg_051,1:Hi5,,,,,,,,,,,,,,
_mina_002_1.txt,hi9,Hi9,1,100%,1:Hi9,,,,,,,,,,,,,,,,
tata_tips_03.txt,hi_scroll,bg_046,1,100%,1:bg_046,,,,,,,,,,,,,,,,
_mina_tips_005.txt,ho1,Ho1_Houjouke,9,50%,9:Ho1_Houjouke,5:Ho2_Houjouke,4:bg_059,,,,,,,,,,,,,,
_mina_011_1.txt,ho1_01,Ho2_Houjouke,1,50%,1:Ho2_Houjouke,1:Ho1_Houjouke,,,,,,,,,,,,,,,
_mina_019.txt,ho1_02,Ho1_Houjouke,4,29%,4:Ho1_Houjouke,4:Ho2_Houjouke,3:bg_059,3:bg_061,,,,,,,,,,,,,
_mina_tips_009.txt,ho_2,Ho_2,4,100%,4:Ho_2,,,,,,,,,,,,,,,,
_mina_tips_009.txt,ho_r1,Ho_R1,11,85%,11:Ho_R1,2:bg_058,,,,,,,,,,,,,,,
tata_001.txt,honoo,white,-1,0%,,,,,,,,,,,,,,,,,
_mina_tips_004.txt,hoteru,bg_056,5,62%,5:bg_056,2:Hoteru,1:bg_072,,,,,,,,,,,,,,
_mina_025.txt,hu2,Hu1,2,50%,2:Hu1,2:Hu2,,,,,,,,,,,,,,,
_mina_009_2.txt,hu2_01,Hu1,1,100%,1:Hu1,,,,,,,,,,,,,,,,
