last_file_found,ps3_name,auto,naegles,final_choice,status,ps3_path,ryukishi_path
_mina_004.txt,js4,js4,NO_MATCH,js4,AUTOMATIC,external\ps3\ep7\background\js4.png,external\ryukishi\ep5\CG\js4.png
_mina_004.txt,js4_01,js4,ima3,ima3,CONTRADICTORY,external\ps3\ep4\background\js4_01.png,external\ryukishi\ep5\CG\ima3.png
_kakera27.txt,js4_02,js4,NO_MATCH,js4,AUTOMATIC,external\ps3\ep7\background\js4_02.png,external\ryukishi\ep5\CG\js4.png
_mina_006.txt,jsa1,jsa1,jsa1,jsa1,IDENTICAL,external\ps3\ep2\background\jsa1.png,external\ryukishi\ep5\CG\jsa1.png
_mina_006.txt,jsa7,jsa7,jsa2,jsa7,CONTRADICTORY,external\ps3\ep2\background\jsa7.png,external\ryukishi\ep5\CG\jsa7.png
_mats_021.txt,jsa7_01,jsa4,jsa7,jsa7,CONTRADICTORY,external\ps3\ep2\background\jsa7_01.png,external\ryukishi\ep5\CG\jsa7.png
_mats_011.txt,jt1,jt1,hi6,jt1,CONTRADICTORY,external\ps3\ep1\background\jt1.png,external\ryukishi\ep6\CG\jt1.png
_mats_018.txt,jt1_01,haikei,hi6,hi6,CONTRADICTORY,external\ps3\ep3\background\jt1_01.png,external\ryukishi\ep5\CG\hi6.png
_mats_011.txt,jt2,jt2,jt2,jt2,IDENTICAL,external\ps3\ep1\background\jt2.png,external\ryukishi\ep7\CG\jt2.png
_mats_018.txt,jt2_01,jt2,jt2,jt2,IDENTICAL,external\ps3\ep4\background\jt2_01.png,external\ryukishi\ep7\CG\jt2.png
_mats_007.txt,juku1_01,juku1,hi6,hi6,NAEGLES,external\ps3\ep4\background\juku1_01.png,external\ryukishi\ep5\CG\hi6.png
_mats_014.txt,jy1,jy1,jy1,jy1,IDENTICAL,external\ps3\ep2\background\jy1.png,external\ryukishi\ep5\CG\jy1.png
_mats_025.txt,jy2,jy2,jy2,jy2,IDENTICAL,external\ps3\ep1\background\jy2.png,external\ryukishi\ep5\CG\jy2.png
_kakera27.txt,jys1,js1,jy1,js1,CONTRADICTORY,external\ps3\ep2\background\jys1.png,external\ryukishi\ep5\CG\js1.png
_meak_tips_14.txt,jysa1,jysa1,jysa1,jysa1,IDENTICAL,external\ps3\ep2\background\jysa1.png,external\ryukishi\ep5\CG\jysa1.png
_mina_021.txt,jyt1,jyt1,jyt1,jyt1,IDENTICAL,external\ps3\ep2\background\jyt1.png,external\ryukishi\ep5\CG\jyt1.png
_mats_018.txt,jyt2,jyt2,jyt2,jyt2,IDENTICAL,external\ps3\ep1\background\jyt2.png,external\ryukishi\ep5\CG\jyt2.png
_kakera25.txt,k_kouen1,kouen,NO_MATCH,kouen,AUTOMATIC,external\ps3\ep5\background\k_kouen1.png,external\ryukishi\ep5\CG\kouen.png
_meak_005.txt,k_kouen1_01,kouen,NO_MATCH,kouen,AUTOMATIC,external\ps3\ep5\background\k_kouen1_01.png,external\ryukishi\ep5\CG\kouen.png
_kakera51.txt,k_oyashiro,NO_MATCH,black,black,NAEGLES,external\ps3\ep8\background\k_oyashiro.png,external\ryukishi\ep1\CG\black.png
_mats_010.txt,k_ten2,ho1_tokyo,NO_MATCH,ho1_tokyo,AUTOMATIC,external\ps3\ep8\background\k_ten2.png,external\ryukishi\ep8\ho1_tokyo.png
_mats_010.txt,ka1_01,ka2,NO_MATCH,ka2,AUTOMATIC,external\ps3\ep7\background\ka1_01.png,external\ryukishi\ep7\CG\ka2.png
_mats_022.txt,ka4,ka1,NO_MATCH,ka1,AUTOMATIC,external\ps3\ep7\background\ka4.png,external\ryukishi\ep7\CG\ka1.png
_mats_020.txt,kai_jyun,ke_s3,NO_MATCH,ke_s3,AUTOMATIC,external\ps3\ep8\background\kai_jyun.png,external\ryukishi\ep8\ke_s3.png
_mats_020.txt,kai_ten,ke_s3,ke5,ke5,NAEGLES,external\ps3\ep8\background\kai_ten.png,external\ryukishi\ep5\CG\ke5.png
_kakera52.txt,kakera,kakera3,NO_MATCH,kakera3,AUTOMATIC,external\ps3\ep8\background\kakera.png,external\ryukishi\ep8\kakera3.png
_tsum_010.txt,kawa1,kawa1,kawa1,kawa1,IDENTICAL,external\ps3\ep1\background\kawa1.png,external\ryukishi\ep5\CG\kawa1.png
hima_002.txt,kawa4,bg_005,bg_087,bg_005,CONTRADICTORY,external\ps3\ep1\background\kawa4.png,external\ryukishi\ep1\CG\bg_005.png
_mats_019.txt,ke1,ke1,bg_091,bg_091,CONTRADICTORY,external\ps3\ep4\background\ke1.png,external\ryukishi\ep4\CG\bg_091.png
_meak_012.txt,ke1_01,ke1,NO_MATCH,ke1,AUTOMATIC,external\ps3\ep5\background\ke1_01.png,external\ryukishi\ep5\CG\ke1.png
_mats_019.txt,ke2,ke2,ke2,ke2,IDENTICAL,external\ps3\ep2\background\ke2.png,external\ryukishi\ep7\CG\ke2.png
_mats_022.txt,ke5,ke5,ke5,ke5,IDENTICAL,external\ps3\ep1\background\ke5.png,external\ryukishi\ep5\CG\ke5.png
_mats_025.txt,ke_ky1,ke_ky1,ke_ky1,ke_ky1,IDENTICAL,external\ps3\ep1\background\ke_ky1.png,external\ryukishi\ep5\CG\ke_ky1.png
_mats_012.txt,ke_ky2,tosyo7,ke_ky2,ke_ky2,CONTRADICTORY,external\ps3\ep1\background\ke_ky2.png,external\ryukishi\ep5\CG\ke_ky2.png
_mats_019.txt,ke_robbie,ke_r1,NO_MATCH,ke_r1,AUTOMATIC,external\ps3\ep8\background\ke_robbie.png,external\ryukishi\ep8\ke_r1.png
_mats_019.txt,ke_s2,ke_s1,ke_s1,ke_s1,IDENTICAL,external\ps3\ep1\background\ke_s2.png,external\ryukishi\ep5\CG\ke_s1.png
staffroom.txt,ke_shiryou1_02,NO_MATCH,dsc00038,dsc00038,NAEGLES,external\ps3\ep5\background\ke_shiryou1_02.png,external\ryukishi\ep5\CG\dsc00038.png
hima_tips_14.txt,kimi_o1_08,terebi1,terebi1,terebi1,IDENTICAL,external\ps3\ep4\background\kimi_o1_08.png,external\ryukishi\ep6\CG\terebi1.png
_kakera52.txt,koudou,mati16,NO_MATCH,mati16,AUTOMATIC,external\ps3\ep8\background\koudou.png,external\ryukishi\ep8\mati16.png
_mats_024.txt,koya1,koya2,NO_MATCH,koya2,AUTOMATIC,external\ps3\ep8\background\koya1.png,external\ryukishi\ep8\koya2.png
_mats_024.txt,koya1_02,koya1,bg_097,bg_097,CONTRADICTORY,external\ps3\ep4\background\koya1_02.png,external\ryukishi\ep4\CG\bg_097.png
hima_004.txt,kukou1,NO_MATCH,bg_099,bg_099,NAEGLES,external\ps3\ep4\background\kukou1.png,external\ryukishi\ep4\CG\bg_099.png
_mats_023.txt,kuruma1,kuruma1,kuruma1,kuruma1,IDENTICAL,external\ps3\ep1\background\kuruma1.png,external\ryukishi\ep6\CG\kuruma1.png
_tsum_026.txt,kuruma1_02,kuruma1,kuruma1,kuruma1,IDENTICAL,external\ps3\ep3\background\kuruma1_02.png,external\ryukishi\ep6\CG\kuruma1.png
_mats_023.txt,kuruma2,kuruma2,kuruma2,kuruma2,IDENTICAL,external\ps3\ep2\background\kuruma2.png,external\ryukishi\ep6\CG\kuruma2.png
hima_003_03.txt,kuruma2_01,kuruma2,kuruma2,kuruma2,IDENTICAL,external\ps3\ep4\background\kuruma2_01.png,external\ryukishi\ep6\CG\kuruma2.png
_tsum_026.txt,kuruma2_02,kuruma2,kuruma2,kuruma2,IDENTICAL,external\ps3\ep3\background\kuruma2_02.png,external\ryukishi\ep6\CG\kuruma2.png
hima_003_03.txt,kuruma3,m_hi9,kuruma3,kuruma3,CONTRADICTORY,external\ps3\ep4\background\kuruma3.png,external\ryukishi\ep6\CG\kuruma3.png
_tsum_012_2.txt,kuruma3_01,kuruma3,kuruma3,kuruma3,IDENTICAL,external\ps3\ep1\background\kuruma3_01.png,external\ryukishi\ep6\CG\kuruma3.png
_tsum_026.txt,kuruma3_02,kuruma3,kuruma3,kuruma3,IDENTICAL,external\ps3\ep3\background\kuruma3_02.png,external\ryukishi\ep6\CG\kuruma3.png
_mats_012.txt,kuruma4,kuruma4,kuruma4,kuruma4,IDENTICAL,external\ps3\ep2\background\kuruma4.png,external\ryukishi\ep5\CG\kuruma4.png
tata_011_03.txt,kuruma4_01,kuruma4,kuruma4,kuruma4,IDENTICAL,external\ps3\ep3\background\kuruma4_01.png,external\ryukishi\ep5\CG\kuruma4.png
_mats_002.txt,kuruma5,kuruma5,kuruma5,kuruma5,IDENTICAL,external\ps3\ep4\background\kuruma5.png,external\ryukishi\ep5\CG\kuruma5.png
_mina_019.txt,kuruma5_01,bg_106,bg_106,bg_106,IDENTICAL,external\ps3\ep4\background\kuruma5_01.png,external\ryukishi\ep4\CG\bg_106.png
_meak_001.txt,kuruma5_02,kuruma8,NO_MATCH,kuruma8,AUTOMATIC,external\ps3\ep5\background\kuruma5_02.png,external\ryukishi\ep5\CG\kuruma8.png
tata_011_03.txt,kuruma5_03,kuruma5,kuruma5,kuruma5,IDENTICAL,external\ps3\ep3\background\kuruma5_03.png,external\ryukishi\ep5\CG\kuruma5.png
_kakera51.txt,kuruma5_04,kuruma4,kuruma5,kuruma5,NAEGLES,external\ps3\ep8\background\kuruma5_04.png,external\ryukishi\ep5\CG\kuruma5.png
_kakera42.txt,kuruma5_05,kuruma5,kuruma8,kuruma8,NAEGLES,external\ps3\ep8\background\kuruma5_05.png,external\ryukishi\ep5\CG\kuruma8.png
_mats_023.txt,kuruma6,kuruma6,kuruma6,kuruma6,IDENTICAL,external\ps3\ep4\background\kuruma6.png,external\ryukishi\ep5\CG\kuruma6.png
unknown,left,NO_MATCH,left,left,NAEGLES,external\ps3\ep1\left.png,external\ryukishi\ep1\CG\left.png
unknown,logo,NO_MATCH,logo,logo,NAEGLES,external\ps3\ep1\logo.png,external\ryukishi\ep1\CG\logo.png
unknown,logo_j,NO_MATCH,logo_j,logo_j,NAEGLES,external\ps3\ep1\logo_j.png,external\ryukishi\ep1\CG\logo_j.png
